about_property,address,allowed_floors,boundary_walls,plot_area,price,price_per,tranjection_type,width_facing_road
,"Chitrakoot Nagar, Udaipur",,No,(323.86 sq.m.), 1.22 Crore," 3,500 per sq.ft. ",,200.0 Feet
,"Ahmedabad bypass highway, Savina Jogi Talaab Road, Udaipur",,No,(139.35 sq.m.), 37.5 Lac," 2,500 per sq.ft.  ",,
,"Umarda, Udaipur",3 Floors,Yes,(111.48 sq.m.), 7 Lac, 584 per sq.ft. ,,30.0 Feet
,"Ashok Nagar, Udaipur",,Yes,(501.68 sq.m.), 11.88 Crore," 22,000 per sq.ft.  ",,100.0 Feet
,"Chitrakoot Nagar, Udaipur",,No,(297.29 sq.m.), 1.28 Crore," 4,000 per sq.ft. ",,40.0 Feet
,"Chitrakoot Nagar, Udaipur",,No,(433.11 sq.m.), 1.86 Crore," 4,000 per sq.ft. ",,60.0 Feet
,"Panchratna Complex, Fatehpura, Udaipur",,,(618.27 sq.m.), 4 Crore," 6,011 per sq.ft. ",,
,"ROOP nagar hiran mangri, Udaipur",,No,(222.97 sq.m.), 1.32 Crore," 5,500 per sq.ft. ",,30.0 Feet
,"malabar hills amba mata gati titardi, Udaipur",0 Floors,No,(116.13 sq.m.), 30 Lac," 2,400 per sq.ft. ",,40.0 Feet
,"Chitrakoot Nagar, Udaipur",,No,(179.86 sq.m.), 63.89 Lac," 3,300 per sq.ft. ",,30.0 Feet
,"Titrdi, Udaipur",,No,(153.29 sq.m.), 39.6 Lac," 2,400 per sq.ft. ",,40.0 Feet
,"Chitrakoot Nagar, Udaipur",,No,(179.86 sq.m.), 67.76 Lac," 3,500 per sq.ft. ",,30.0 Feet
,"Titardi, Udaipur",,No,(197.42 sq.m.), 51 Lac," 2,400 per sq.ft. ",,40.0 Feet
,"D P S SCHOOL, Udaipur",,No,(260.13 sq.m.), 98 Lac," 3,500 per sq.ft.  ",,30.0 Feet
,"Meera Nagar A block, Udaipur",,No,(112.41 sq.m.), 54.45 Lac," 4,500 per sq.ft.  ",,30.0 Feet
,"Dabok Mavli Road, Dabok, Udaipur",3 Floors,No,(492.39 sq.m.), 14 Lac, 264 per sq.ft. ,,80.0 Feet
,"sundarwas, Udaipur",,No,(122.63 sq.m.), 72.6 Lac," 5,500 per sq.ft.  ",,60.0 Feet
,"Mahapragya vihar, Udaipur",,No,(227.61 sq.m.), 1.1 Crore," 4,500 per sq.ft. ",,30.0 Feet
,"Deekli, Udaipur",,No,(116.13 sq.m.), 15.63 Lac," 1,250 per sq.ft. ",,40.0 Feet
